ID_Kunde,Kundennr,Vorname_1,Vorname_2,Nachname,Anrede,PLZ,Strasse,Hausnr,Mail,Tel,Geschlecht,Geburtsdatum,Beruf,Titel,PersoNr,PersoValidTo
31,6404, Louis,, Wolf ,Herr,4821,Amselweg 7,,louis.wolf@t-online.de,034292/672260,Männlich,1982-09-09,Data Scientist,,UTP69370,2020-01-07
32,7213,Max ,,Kaiser,Hr.,6779,Brückenstraße,8.0,max.kaiser@gmx.net,034906/144154,m,1973-06-18,Verwaltungsfachangestellte/r,,BFQ90173,23.11.2023
33,8192,Leonie,,Schröder,Fr.,6571,Ulmenweg,8.0,leonie.schröder@t-online.de,034672/52669,W,07.11.1969,Mechatroniker/in ,,OTW53168,2024-07-04
34,9069,Tim,,Schmitt,Herr,14822,Mühlweg,8.0,tim.schmitt@web.de,033843/362033,m,1994-12-22,Maler/in und Lackierer/in,,WYC23914,05.12.2024
35,4425, Sophie,,Krause,Frau,72488,Ringstraße,2.0,sophie.krause@t-online.de,07571/874965,w,1952-02-15,Senior/in,Prof.,FIN07194,13.03.2023
36,4948, Jakob ,,Lehmann,Hr.,56377,Dorfstraße,8.0,jakob.lehmann@gmail.com,02604/854787,m,03.03.1979, Business Analyst ,Dr.,IAD16049,28.03.2020
37,3915,Lara,,Mayer,Frau,72539,Schillerstraße 6,,lara.mayer@gmail.com,07388/310702,w,29.07.1941,Senior/in ,,QJO51873,2020-03-01
38,6203, Elias,,Lehmann,Herr,6721,Kurze Straße,3.0,elias.lehmann@gmail.com,034425/841124,m,28.07.1950,Senior/in,,LUS37804,23/10/2023
39,7980, Jakob ,,Neumann,Herr,44801,Blumenstraße,9.0,jakob.neumann@web.de,0234/40623,m,1991-11-27,UX Designer/in ,Dr.,IMX50612,2025-10-09
40,2822,Jakob,, Fuchs ,Herr,16559,Schubertstraße,6.0,jakob.fuchs@gmx.net,033054/691470,Männlich,1945-04-17,Senior/in,,VJZ87125,2023-03-31
41,8183,Luisa ,,Schröder,Fr.,23881,Hauptstraße,2.0,luisa.schröder@web.de,04542/213000,Weiblich,2004-10-16,Tischler/in ,,ZOQ37219,2020-12-01
42,6504,Emilia,,Schmitt,Frau,88634,Am Hang,5.0,emilia.schmitt@gmail.com,07557/196094,w,07.10.1977,Ingenieur/in,,ZCU07352,2025-02-17
43,6327,Sophie,,Hofmann,Frau,24864,Im Winkel 4,,sophie.hofmann@gmx.net,04622/149001,W,1971-06-11, Friseur/in ,,CGD67834,12.06.2020
44,4049,Paul,,Schulz ,Hr.,19089,Mühlenstraße,8.0,paul.schulz@gmx.net,03863/727256,m,1969-02-08,Verwaltungsfachangestellte/r,,UCK54836,2024-12-13
45,3722,Marie,,Becker,Frau,74597,Fliederweg,4.0,marie.becker@web.de,07967/426144,W,05.05.1950,Senior/in ,,NIH69874,27.04.2025
46,8439,Emilia,,Koch,Frau,76359,Nordstraße,7.0,emilia.koch@web.de,07248/539242,w,1966-06-05, Immobilienkaufmann/frau ,,ZEC24736,2022-10-20
47,8834,Sophie,, Krüger,Frau,50827,Königsberger Straße,10.0,sophie.krüger@gmx.net,0221/55103,w,10/04/2009, Koch/Köchin ,,GLD74569,Sun Oct 12 2025
48,5140,Lena,,Koch ,Frau,36419,Berliner Straße,7.0,lena.koch@gmx.net,036967/571214,Weiblich,1943-04-22,Senior/in ,,BVR97481,08.03.2024
49,8422,Mia,,Schäfer ,Frau,99510,Brückenstraße 3,,mia.schäfer@t-online.de,036464/95161,W,15/04/1974,Gesundheits- und Krankenpfleger/in,,YBO28931,2023-05-22
50,6509,Emily ,,Mayer,Frau,92355,Karlstraße,2.0,emily.mayer@gmx.net,09182/716662,w,1956-02-07,Bauzeichner/in,,QJA76892,20/11/2022
51,2879,Max ,,Wagner,Hr.,92702,Lessingstraße,9.0,max.wagner@web.de,09608/847560,M,1924-03-18,Senior/in,Prof.,HTW42630,14/12/2024
52,7977,Lilly,,Wagner ,Frau,7366,Dorfstraße,5.0,lilly.wagner@t-online.de,036642/298677,Weiblich,2000-11-12,UX Designer/in,,WLS92683,28.11.2020
53,7229,Emilia,,Krüger,Frau,23858,Meisenweg,9.0,emilia.krüger@web.de,04533/318673,w,2006-05-22,Software Entwickler/in,,QVV19746,05/11/2022
54,9446,Lena,,Schmidt,Frau,17091,Buchenweg,10.0,lena.schmidt@gmx.net,039600/385348,w,1932-10-30,Senior/in,,JBW79635,2025-08-30
55,8881,Elias,,Zimmermann,Herr,31628,Meisenweg 8,,elias.zimmermann@t-online.de,05025/494992,m,13.03.1962,Ingenieur/in,,PAF15723,2021-03-01
56,8769,Laura,,Lange,Frau,99326,Danziger Straße,9.0,laura.lange@gmx.net,03629/50040,w,28.03.1967,Immobilienkaufmann/frau,,ESM95267,2024-03-22
57,4910,Luisa,,Schmitz,Frau,19374,Industriestraße,1.0,luisa.schmitz@gmx.net,038723/833347,W,2007-10-03,Verwaltungsfachangestellte/r,,NBT72543,2025-04-10
58,5444,Luka,,Hofmann ,Herr,23948,Wilhelmstraße,6.0,luka.hofmann@t-online.de,038428/75441,M,13.11.1967,Fachinformatiker/in,,EDH10283,2020-05-02
59,8999, Leonie,,Schwarz,Fr.,83552,Neue Straße,8.0,leonie.schwarz@gmail.com,08075/367770,w,1977-02-04,Koch/Köchin,,DDY03517,2021-05-03
60,3739,Lena,,König ,Frau,15378,Neuer Weg,6.0,lena.könig@t-online.de,033434/91223,Weiblich,1935-07-27,Senior/in,,TWS01827,08/10/2025
61,5542, Emily,,Lehmann,Frau,1768,Goethestraße 3,,emily.lehmann@t-online.de,035053/427899,w,25.12.1926, Senior/in ,,RYQ78124,2024-09-25
62,8393,Maximilian,,Schmid,Herr,17111,Heideweg,8.0,maximilian.schmid@gmail.com,039996/106152,M,15.07.1969,Zahntechniker/in,,PWG04152,2022-09-30
63,8016, Lina ,,Zimmermann,Frau,67271,Parkstraße,2.0,lina.zimmermann@web.de,06359/443527,w,1977-08-03,Sales Manager/in,Dr.,MHU97516,2024-04-02
64,7141,Lukas,,Bauer,Herr,25355,Gartenstraße,9.0,lukas.bauer@t-online.de,04123/30455,m,1959-12-08,Professor/in ,Prof.,TAE21684,30/12/2023
65,7335,Emma ,,Lange,Frau,51381,Mittelweg,4.0,emma.lange@t-online.de,0214/864575,w,1994-07-18,Account Manager/in,,WHD43518,2024-08-21
66,8506,Amelie ,,Huber,Frau,39343,Tannenweg,2.0,amelie.huber@web.de,039050/716726,W,1950-10-15,Senior/in ,,YBR29745,2025-03-16
67,4045, Laura,,Schmitt,Frau,67117,Drosselweg 6,,laura.schmitt@web.de,06236/689962,w,1932-04-08,Senior/in ,,GQI64732,2020-07-12
68,2518,Tim,,Werner,Herr,93092,Schützenstraße,9.0,tim.werner@gmx.net,09401/755611,m,08/08/1954,Senior/in,,NZK93687,2025-08-22
69,5652,Felix ,,Mayer,Herr,80337,Waldstraße,6.0,felix.mayer@t-online.de,089/327964,Männlich,1971-04-27,Maler/in und Lackierer/in,,THN18293,2025-04-12
70,4747,Jonas,, Meier ,Hr.,18059,Am Bahnhof,4.0,jonas.meier@t-online.de,038207/313047,m,1973-08-26, Personalreferent/in,,CIY92753,2023-03-19
71,3163,Jonas ,,Hofmann,Herr,6408,Tannenweg,3.0,jonas.hofmann@gmx.net,03471/786885,m,1947-03-09,Senior/in,,BPR76280,2023-11-20
72,8061,Emma,,Lehmann,Frau,74405,Eichendorffstraße,10.0,emma.lehmann@web.de,07971/143214,w,1955-11-07,Immobilienkaufmann/frau,,AAE82546,13.06.2022
73,8174,Sofia,, Richter,Fr.,99628,Eichenweg 8,,sofia.richter@web.de,036373/738201,w,1956-11-05,Finanzwirt/in,,SWV38261,2025-04-03
74,7453,Sofia ,,Schulz,Frau,91322,Stettiner Straße,4.0,sofia.schulz@gmx.net,09192/325225,w,07.12.1999,Gesundheits- und Krankenpfleger/in ,,XSM69253,07/04/2023
75,3062, Louis,,Klein,Hr.,74405,Jahnstraße,3.0,louis.klein@t-online.de,07971/588536,m,03/01/1949,Senior/in,,AVZ76051,2024-10-26
76,9192,Emily,,Bauer,Frau,6773,Am Bahnhof,2.0,emily.bauer@t-online.de,034955/20341,W,1956-06-28,Elektroniker/in im Handwerk,,XYR54261,2021-02-07
77,6670,Felix,,Braun,Hr.,25499,Bahnhofstraße,9.0,felix.braun@t-online.de,04101/563485,m,1993-06-22,Filmeditor/in Videoeditor/in,,VBO24183,2022-03-29
78,8484,Emma,,Köhler ,Frau,23974,Kirchstraße,7.0,emma.köhler@gmail.com,038426/245803,W,21.11.1946,Senior/in,,KOR96241,2024-12-06
79,3744,Lukas,,Huber,Hr.,6567,Feldstraße 3,,lukas.huber@gmail.com,034671/757998,M,18.04.1950,Senior/in,,FZQ51846,25.03.2021
80,4979,Louis,,Hartmann,Herr,24601,Neue Straße,4.0,louis.hartmann@web.de,04323/842374,m,Wed Sep 04 1946, Senior/in ,,YJI39847,2023-07-05
81,6831,Luisa,,Becker,Frau,19339,Ahornstraße,8.0,luisa.becker@gmx.net,038787/207831,w,1973-03-07,Software Entwickler/in,,OEY98203,2023-04-16
82,4540,Nele,,Schröder ,Frau,6722,Kurze Straße,1.0,nele.schröder@web.de,034425/826898,w,03.09.1991,Graphic Designer/in ,,EEN32418,03.12.2025
83,8017, Lilly ,,Meier,Frau,51381,Berliner Straße,6.0,lilly.meier@web.de,0214/426596,W,14.04.1928, Senior/in ,,ZZX23950,2020-04-28
84,7852,Maximilian ,,Lehmann ,Herr,56242,Lessingstraße,9.0,maximilian.lehmann@gmail.com,02626/216438,m,2004-12-26, Mechatroniker/in ,,EGE78095,Sun Apr 17 2022
85,8724,Philipp,,Schmitz,Hr.,99510,Feldstraße 8,,philipp.schmitz@web.de,036464/254039,m,26.06.1976,Projekt Manager/in ,,GEQ46952,2022-04-29
86,5095,Amelie ,,Neumann,Frau,66957,Stettiner Straße,10.0,amelie.neumann@gmail.com,06335/446437,W,1924-01-02,Senior/in,,QKR30642,2025-01-19
87,7767, Jonas ,, Huber ,Hr.,1097,Lindenweg,10.0,jonas.huber@gmx.net,0351/417569,M,27.04.1992, Gesundheits- und Krankenpfleger/in ,,XAJ54726,Sat Jun 20 2020
88,8165,Johanna,,Zimmermann,Frau,38836,Marktplatz,8.0,johanna.zimmermann@web.de,039422/746896,w,Sun Sep 04 1955,Senior/in,,ABP29308,2025-01-08
89,6464,Henry,,Wolf ,Herr,39398,Parkstraße,5.0,henry.wolf@t-online.de,039408/47213,Männlich,1976-02-29,Friseur/in ,,XAY85637,2025-12-14
90,7497,Luka,,Richter,Herr,26388,Beethovenstraße,9.0,luka.richter@web.de,04421/36867,m,10.10.1933,Senior/in,,RSB38507,2021-11-17
91,8671,Hanna,,Schäfer,Frau,19417,Berliner Straße 7,,hanna.schäfer@t-online.de,038484/195560,w,1998-07-11,Product Owner,,EKP25319,2020-01-06
92,4714,Johanna,,Müller ,Frau,16928,Ahornstraße,9.0,johanna.müller@web.de,033984/735809,W,1993-06-28,Key Account Manager/in ,,LDY92401,2022-01-23
93,3677,Noah,,Köhler,Hr.,25917,Marktstraße,9.0,noah.köhler@web.de,04662/812258,m,09/11/2003,Key Account Manager/in,,QKS08397,08/11/2021
94,6521,Mia,,Zimmermann,Fr.,37213,Kirchgasse,5.0,mia.zimmermann@gmx.net,05542/313622,w,1936-09-13,Senior/in ,,HTN10235,2020-05-07
95,3012,Emma,, Schmid,Frau,19089,Wiesenweg,3.0,emma.schmid@gmail.com,03863/640303,w,1978-04-21,Bauzeichner/in ,,HDZ65094,14.11.2025
96,3775,Lilly,, Walter,Frau,19417,Jahnstraße,5.0,lilly.walter@gmx.net,038484/543513,w,27.07.1996,Product Manager/in,,AUA50938,08.03.2021
97,4562,Lena,,Köhler,Frau,14913,Mozartstraße 3,,lena.köhler@gmail.com,033741/856344,w,1973-04-27,Personalreferent/in,Dr.,KHN08549,2024-04-20
98,2523,Nele,,Lange,Frau,4357,Marktplatz,5.0,nele.lange@gmail.com,0341/173107,w,1956-05-20, Controller/in,,OQZ26951,Thu Jan 16 2020
99,6188,Luka,,Koch ,Herr,24811,Am Bahnhof,9.0,luka.koch@gmx.net,04336/5967,m,1929-09-25,Senior/in ,,GZS57021,28.07.2025
100,9195,Ben,,Richter,Herr,97532,Hauptstraße,8.0,ben.richter@t-online.de,09720/678041,m,02/06/1957,Kaufmann/frau im E-Commerce,,ULP19276,2025-06-26
101,4588,Paul,,Schmitt,Herr,54673,Amselweg,2.0,paul.schmitt@gmx.net,06564/359885,m,Thu Feb 24 2000,Tiermedizinische/r Fachangestellte/r ,,GDU13647,2021-04-12
102,2586, Philipp,,Schulze ,Herr,4821,Bachstraße,4.0,philipp.schulze@gmail.com,034292/428809,m,02.04.1937,Senior/in,,BZO13642,2021-03-11
103,8589,Marie,,Meyer,Frau,15517,Rosenstraße 8,,marie.meyer@t-online.de,03361/22330,W,1953-08-06,Senior/in,,BIV80172,2022-08-31
104,4648, Luka,,Werner,Hr.,80337,Grüner Weg,6.0,luka.werner@web.de,089/177633,M,1964-09-01, Data Analyst ,,RPJ36951,2025-11-27
105,7176,Paul,,Bauer,Herr,67271,Bachstraße,6.0,paul.bauer@web.de,06359/828264,m,17/04/1930,Senior/in,,WIM98607,05.08.2025
106,3428,Moritz ,,Schneider ,Herr,99198,Marktplatz,1.0,moritz.schneider@gmail.com,036209/587712,M,1925-11-22,Senior/in,,BJP91352,2024-06-08
107,8806,Lina,, Becker ,Frau,19357,Ringstraße,7.0,lina.becker@gmx.net,038797/398229,w,18.06.2004,Account Manager/in,,THG15302,03.10.2020
108,3800,Lara,,Krause,Fr.,15517,Kirchstraße,6.0,lara.krause@gmx.net,03361/780177,w,1934-12-30, Senior/in ,,MTS72081,2022-07-31
109,2757,Max,,Kaiser ,Hr.,30966,Kirchstraße 2,,max.kaiser@gmail.com,0511/489631,M,17.01.1942,Senior/in,,CRT57412,2021-09-13
110,7593,Johanna ,,Werner,Fr.,82349,Marktplatz,2.0,johanna.werner@gmx.net,089/238904,w,1945-06-04, Senior/in ,,FOL08791,2022-06-21
111,6809, Marie ,,Schulze ,Frau,1768,Lindenweg,10.0,marie.schulze@gmx.net,035053/743926,w,07/08/1941,Senior/in,Dr.,UHA13426,2023-07-18
112,3245, Leon,,Schwarz,Herr,17252,Kirchplatz,5.0,leon.schwarz@t-online.de,039833/842113,m,1986-10-08,Industriekaufmann/frau,,ZDI46172,24.10.2025
113,6347,Jonas,,Lehmann,Herr,1768,Bahnhofstraße,3.0,jonas.lehmann@web.de,035053/373667,m,19.09.1980,Sektions- und Präparationsassistent/in,,EPR90352,25.06.2024
114,8910,Henry ,,Schröder,Herr,76848,Burgstraße,8.0,henry.schröder@t-online.de,06392/469545,M,1969-10-10, Personalreferent/in ,,OYT06597,2022-07-15
115,6929,Leonie,, Hartmann ,Frau,23948,Kirchstraße 8,,leonie.hartmann@gmail.com,038428/544699,w,1958-01-18,Mechatroniker/in ,,FXW26180,2020-11-05
116,4772,Noah,,Hofmann,Herr,72355,Kiefernweg,1.0,noah.hofmann@gmx.net,07427/612776,m,1978-12-31, Immobilienwirt ,,ESH72635,2024-08-12
117,7433,Felix,,Zimmermann ,Herr,18230,Lange Straße,7.0,felix.zimmermann@web.de,038296/734490,m,1934-08-06, Senior/in,,ZBG60185,2021-11-26
118,4065, Lina ,,Kaiser,Fr.,72355,Danziger Straße,2.0,lina.kaiser@gmx.net,07427/236209,w,1990-06-12,Professor/in,Prof.,OQF16032,2023-07-12
119,5298,Maximilian ,,Fischer,Hr.,24594,Rosenstraße,5.0,maximilian.fischer@t-online.de,04871/831585,Männlich,03.10.1924,Senior/in ,,OGW24738,2025-02-12
120,7271,Anna,,Maier ,Frau,34626,Mittelweg,7.0,anna.maier@gmx.net,06694/2610,w,1983-01-26,Immobilienkaufmann/frau,,XKQ41586,2022-03-07
121,5683,Maximilian ,,Becker,Herr,56357,Bachstraße 1,,maximilian.becker@gmail.com,06772/737450,Männlich,1989-02-24,Product Owner,,ZHC79653,2025-03-20
122,6119, Amelie,,Lehmann ,Frau,39398,Am Anger,9.0,amelie.lehmann@t-online.de,039408/136044,W,1980-02-04,Automobilkaufmann/frau,,GCR78524,Sat Jun 03 2023
123,8392,Luka,, Hofmann ,Hr.,6408,Danziger Straße,10.0,luka.hofmann@gmx.net,03471/220340,m,12.03.1993,Key Account Manager/in,,IGF79364,23.10.2022
124,3438,Luka ,,Fischer,Hr.,64372,Schwalbenweg,1.0,luka.fischer@gmail.com,06154/219005,m,29.10.1934,Senior/in,,JEZ90823,23/03/2025
125,8645, Paul,,Schneider ,Hr.,18239,Eichenweg,3.0,paul.schneider@gmail.com,038207/290537,m,1958-02-23,Gesundheits- und Krankenpfleger/in ,,GLM16358,2021-10-14
126,8862,Jakob,,Schmitt,Hr.,67586,Gartenweg,3.0,jakob.schmitt@t-online.de,06733/220150,m,07.03.1984,Konditor/in ,,ZQW04729,2020-11-23
127,4805,Luka,,Klein,Herr,23936,Marktstraße 5,,luka.klein@gmx.net,03881/599041,m,1948-05-05,Senior/in ,,EKI10486,2022-06-13
128,5170, Lina ,,Werner ,Frau,17111,Grüner Weg,9.0,lina.werner@gmx.net,039996/364213,w,13/11/1985, Landwirt/in ,,HVN74283,2021-08-15
129,7527,Maximilian ,,Zimmermann,Hr.,56653,Mittelweg,2.0,maximilian.zimmermann@gmx.net,02636/629366,m,2008-11-04,Bauzeichner/in ,,FAJ30689,2021-12-09
130,8252,Julian ,, Weber,Hr.,1683,Ulmenweg,2.0,julian.weber@gmx.net,035242/709899,m,02.10.1992,Konditor/in ,,WZA25418,31/01/2021
131,2887,Henry ,, Bauer ,Herr,51381,Hauptstraße,6.0,henry.bauer@gmail.com,0214/883557,Männlich,16.03.1966,Elektroniker/in im Handwerk ,,HSK07963,2024-11-12
132,5860, Lea ,,Mayer,Fr.,56244,Marktstraße,8.0,lea.mayer@web.de,02666/145955,w,17.12.2000, Business Analyst,,SCQ52041,2022-10-04
133,5326, Max ,,Hofmann ,Hr.,73453,Kirchgasse 4,,max.hofmann@gmx.net,07975/885987,m,1982-08-30,Ingenieur/in,,DDV36285,2023-01-16
134,2709,Lilly,,Lange,Frau,48147,Neue Straße,9.0,lilly.lange@gmx.net,0251/3916,W,14/05/1992, Sales Manager/in,Dr.,SIJ47206,23.04.2022
135,7495,Tim,,Schröder ,Herr,1097,Eichenstraße,2.0,tim.schröder@gmx.net,0351/547288,M,01.02.1927, Senior/in ,,OHB72189,23.07.2025
136,4799,Laura,,Richter,Fr.,19374,Meisenweg,7.0,laura.richter@gmx.net,038723/799852,w,Thu Oct 05 2000,Gesundheits- und Krankenpfleger/in,,GHU92405,22.01.2020
137,5602,Hanna,,Schmitt,Frau,6721,Eichenstraße,8.0,hanna.schmitt@gmx.net,034425/758362,W,17.05.1924,Senior/in,,YNV91083,2025-07-16
138,6958, Luka ,, Becker,Herr,29588,Wilhelmstraße,5.0,luka.becker@web.de,05805/107455,m,1978-08-29, Professor/in ,Prof.,WKK49306,2020-08-11
139,2880, Louis,,Schmidt,Herr,35463,Fichtenweg 3,,louis.schmidt@gmx.net,06404/731459,Männlich,1932-02-10,Senior/in,,MTB56094,2024-10-06
140,4161,Louis,,Fuchs,Herr,4626,Ulmenweg,4.0,louis.fuchs@gmx.net,034496/893703,m,14.08.1997,Landwirt/in ,,EPL62310,Tue Nov 07 2023
141,4226, Noah ,, Huber,Herr,99869,Schubertstraße,2.0,noah.huber@web.de,03621/122427,Männlich,1976-02-04,Ingenieur/in,Dr.,VCJ61935,2020-05-21
142,5981, Jakob ,,Schmid,Herr,18230,Schubertstraße,5.0,jakob.schmid@gmail.com,038296/26582,Männlich,1939-06-29,Senior/in,,ZTM83190,2021-05-03
143,8579,Marie ,,Schwarz ,Frau,22885,Dorfstraße,8.0,marie.schwarz@gmx.net,040/111127,w,14.11.1996,Account Manager/in,,BSY08974,22/09/2025
144,5118,Lilly ,,Schulze,Fr.,45327,Mühlenstraße,7.0,lilly.schulze@gmx.net,0201/353949,W,14/10/1957,Product Owner,Dr.,XZU10967,29.01.2020
145,3933, Emilia ,, Bauer,Frau,55444,Kolpingstraße 3,,emilia.bauer@t-online.de,06724/383094,w,09.05.1972,Immobilienkaufmann/frau,,FKU37045,27.02.2025
146,4872,Lilly,,Schröder,Frau,6618,Fliederweg,6.0,lilly.schröder@gmail.com,034466/640812,W,25/05/1962,Konditor/in ,,ADF69801,22.09.2021
147,2645, Emily,, Schmidt,Frau,24594,Mühlenstraße,1.0,emily.schmidt@gmail.com,04871/421469,w,11.09.1937,Senior/in,,JZV29807,2024-09-04
148,5381,Lukas ,,Schröder,Herr,57635,Ringstraße,9.0,lukas.schröder@gmx.net,02686/674821,M,1999-10-17, Verwaltungsfachangestellte/r,,UMH75609,29.04.2021
149,6992,Jakob,,Fuchs,Herr,17111,Mühlenweg,10.0,jakob.fuchs@web.de,039996/387221,m,1972-12-04, Key Account Manager/in,,FKW23914,03.04.2025
150,8166,Mia,,Krause,Frau,18337,Lessingstraße,9.0,mia.krause@gmail.com,038221/34499,w,20.04.1945,Senior/in,,WHE10245,2022-06-10
151,3114,Maximilian,,Braun ,Hr.,37441,Wilhelmstraße 5,,maximilian.braun@gmx.net,05523/854117,Männlich,1981-01-09,Key Account Manager/in,,RBB92704,2022-06-02
152,4022,Luisa ,, Huber,Frau,99100,Stettiner Straße,2.0,luisa.huber@gmail.com,0361/56472,w,1980-09-12,Friseur/in ,,EGG91623,2025-03-11
153,5921, Ben ,,Schulze,Herr,29588,Kurze Straße,7.0,ben.schulze@t-online.de,05805/59475,m,1983-07-22,Sales Manager/in,,HBO10534,2022-04-05
154,8888,Marie,,Schneider,Frau,39307,Gartenstraße,1.0,marie.schneider@gmx.net,039346/206201,Weiblich,29.04.1950,Senior/in,,CXZ96258,04/02/2024
155,9468,Lea,,Kaiser,Frau,71229,Rosenweg,8.0,lea.kaiser@gmail.com,07152/110638,w,21.02.1971,Kaufmann/frau im E-Commerce,,GHY57804,2025-04-29
156,6376,Ben,,Müller,Herr,55490,Marktstraße,8.0,ben.müller@gmx.net,06765/603442,m,1955-11-05, Sales Manager/in ,,BCF29173,2022-10-14
157,3874,Hanna,,Maier,Frau,99100,Römerstraße 2,,hanna.maier@gmx.net,0361/644302,w,2005-06-06,Product Manager/in,,AUB50147,2022-03-13
